taxcode,cluster_label,score,sector_unique_id,empl_qtty,STD_RTD13,STD_RTD14,STD_RTD31
100161240,0,1.44798E+12,1412,10,2.06726E+12,2.63719E+11,2.49561E+12
100101509,0,9.81661E+11,1260,197,1.32778E+12,4.78595E+11,1.46583E+12
105087537,1,5.55521E+11,1230,5,8.52925E+11,7.00167E+11,2.98646E+11
105440255,1,3.29236E+11,1282,9,4.64677E+11,3.21766E+11,3.1101E+11
103328850,1,2.92962E+11,1192,10,6.43812E+11,1.99279E+11,1.33448E+11
106877062,1,2.51365E+11,1183,10,4.069E+11,4.00123E+11,30859325000
102724932,1,2.1365E+11,1120,10,8.44871E+11,-1.32704E+11,0
100319632,1,89223124518,1199,25,2.20286E+11,77124742059,0
101494203,1,87126036064,1183,20,74507485759,67795070397,1.48118E+11
101606358,1,76044319954,1182,6,80527431291,1247074931,1.71707E+11
106309775,1,65540975027,1181,15,1.00371E+11,59006657364,59092567918
100254199,1,62936245377,1120,12,1.13828E+11,95818449228,140919990
101054925,1,57884519986,1281,11,34833167135,6110528018,1.52005E+11
101550176,1,43539148576,1320,5,1.11619E+11,15922000117,17589138098
101758921,1,43214912265,1270,5,42679763595,11499859218,89870084736
101882742,1,38269627872,1170,10,40137757198,5250590314,82177078723
106053971,1,37718295618,1120,5,29659429699,18144924024,77923298335
105146077,1,35862393129,1181,31,50547035122,50060939648,18933335650
106476511,1,29976118237,1181,20,50696088930,47656805188,1567500000
106179170,1,25641997399,1181,15,19730818095,16169704360,49572802204
100739027,1,23703019536,1212,5,39069304492,35814111497,4126649128
105982699,1,22441520806,1181,60,11432256752,2680816322,60691996258
102725615,1,19358743627,1181,2,14947782558,5490825614,44090537251
102554166,1,18133505309,1281,10,31722234946,28722782746,0
102420772,1,17090608044,128,12,40483627346,16485066130,0
105481974,1,16547463935,118,6,42400629867,12757583247,0
102109165,1,15523309085,1281,3,25872181808,25872181808,0
101422375,1,15515462903,1181,4,3141640591,1045873410,47530695673
106768779,1,15238288582,1192,5,22151032263,19871147807,8772115200
101069093,1,15081311085,1181,5,23441329161,23430927924,3398779862
100963822,1,14644268335,1181,13,7047739783,943319993,40823168002
106620701,1,13976351644,1110,58,18196476702,11091068143,17300293948
101564281,1,12820497844,1183,7,19842531405,19842531405,3049930000
106225839,1,12760184857,1219,20,31887159200,2339515044,8307275271
104827690,1,11981964795,1181,5,12489186227,9248064645,18202631775
102336873,1,10978200001,118,6,18297000000,18297000000,0
101950600,1,10202703597,1291,40,4976695030,129131758,28903185188
105762012,1,8075121344,1320,6,7231798174,5631302577,14053970392
106873364,1,7913016354,1219,10,13188360588,13188360588,0
103132939,1,7530773654,1110,5,8668215052,5475234594,10959129199
106774356,1,6983144370,1299,6,12200146134,10841765764,235236000
104061303,1,6860012140,1110,17,3625228292,2419440985,16822037850
106432137,1,6441824388,1181,8,13209155952,-1220460746,9484052750
104265321,1,6382909615,1320,8,9476944702,5476242767,6323177913
106695224,1,6107560395,1120,10,10170760196,10100674450,87100000
106233406,1,5955126026,1120,5,10067150551,9783269535,0
101285961,1,5910665275,1199,11,8986270993,8421857609,2294088978
106813340,1,5386098703,1181,6,8976831171,8976831171,0
100765203,1,5240617925,1291,34,14041541974,3427184430,0
106667315,1,4852118234,1192,6,7302204593,6258425741,2613097111
105929134,1,4108279241,1181,10,6123370957,-626629043,8197522218
106789271,1,4012612651,1181,10,6321951000,6100000000,953424500
103818397,1,3952499601,1213,6,10355634290,2819364379,0
102655171,1,3926892280,1181,6,3419925252,2610891916,7058823763
101849230,1,3796343714,1291,5,6975407765,1411786280,4267285000
101380125,1,3250877249,1181,13,2276816646,574412601,7985028244
106671424,1,3003709751,1199,20,3064137461,2014137461,4934090909
101362140,1,2992126042,1181,19,4895872368,3865131100,1212750000
104251368,1,2983112963,1310,5,4970604938,4970604938,2500000
